# time(days) eclipse_dt(seconds) gw_freq(hertz)
2.733463132216931172e+03 -1.467012428428279236e+03 4.821759009908453512e-03
2.741974749937305205e+03 -1.476162791345268488e+03 4.821759196441436149e-03
2.753562486774707850e+03 -1.488665846052754205e+03 4.821759450387929323e-03
2.764288761646308103e+03 -1.500286384738865308e+03 4.821759685455435582e-03
2.771250090277006620e+03 -1.507852263732638676e+03 4.821759838013748786e-03
2.778331786889719297e+03 -1.515568489670113195e+03 4.821759993209957969e-03
2.791176375681914124e+03 -1.529614222419331782e+03 4.821760274700670652e-03
2.796194294564357733e+03 -1.535118983473512344e+03 4.821760384668984621e-03
2.804910150890193108e+03 -1.544703960708284285e+03 4.821760575678076845e-03
2.813375086722286596e+03 -1.554041550838155672e+03 4.821760761188243101e-03
2.824773163015565387e+03 -1.566659111523767933e+03 4.821761010978601637e-03
2.834316901933716053e+03 -1.577263179575675167e+03 4.821761220130947254e-03
2.839699795727086439e+03 -1.583259899659606162e+03 4.821761338097816166e-03
2.852504486053507208e+03 -1.597570468868070748e+03 4.821761618714435517e-03
2.863700498739231534e+03 -1.610135932790581137e+03 4.821761864076703347e-03
2.873755997085057516e+03 -1.621463335918087978e+03 4.821762084444471651e-03
2.884814570450906103e+03 -1.633966535095532890e+03 4.821762326794822376e-03
2.892589262281413539e+03 -1.642785614605236333e+03 4.821762497178426303e-03
2.906749453154073763e+03 -1.658908951724879444e+03 4.821762807501310880e-03
2.917697034514887036e+03 -1.671428255943465047e+03 4.821763047419385870e-03
2.927800252135172741e+03 -1.683023730407876428e+03 4.821763268833128245e-03
2.938325440933389928e+03 -1.695146130386274308e+03 4.821763499494479376e-03
2.947559649973263731e+03 -1.705817467297310941e+03 4.821763701863818544e-03
2.957902229088037075e+03 -1.717809424654114991e+03 4.821763928523321342e-03
2.967751035813262206e+03 -1.729267909693589900e+03 4.821764144361748335e-03
2.977011200920872852e+03 -1.740076288874843158e+03 4.821764347300017822e-03
2.981301050873898021e+03 -1.745094774811877869e+03 4.821764441312902105e-03
2.987668372950156026e+03 -1.752556917106267065e+03 4.821764580853996930e-03
2.997290047465000953e+03 -1.763863181807391811e+03 4.821764791714884708e-03
3.006125524623155343e+03 -1.774277618127234746e+03 4.821764985346132029e-03
3.016802187736522228e+03 -1.786903174991311971e+03 4.821765219327375264e-03
3.026341924761098198e+03 -1.798222139650897589e+03 4.821765428392688069e-03
3.033887779181372025e+03 -1.807200661857496016e+03 4.821765593761673935e-03
3.044556969528896843e+03 -1.819933677968219854e+03 4.821765827579259020e-03
3.054086448481837124e+03 -1.831344311233260669e+03 4.821766036419859215e-03
3.063496462660529232e+03 -1.842646888748276979e+03 4.821766242642397393e-03
3.074646996110127475e+03 -1.856085055618314072e+03 4.821766487008840273e-03
3.084681674106378978e+03 -1.868220178382762242e+03 4.821766706921099682e-03
3.093714265445643832e+03 -1.879177273926325142e+03 4.821766904872432091e-03
3.106978047512327066e+03 -1.895325131491699722e+03 4.821767195551344455e-03
3.114509752479240888e+03 -1.904525281538371928e+03 4.821767360610463606e-03
3.123041466901137937e+03 -1.914973873825510964e+03 4.821767547585054797e-03
3.131470597297938184e+03 -1.925324903667205945e+03 4.821767732311518957e-03
